삼십팔 아가미 메감지.	0
물고기가 메감지를 벌룽벌룽 움직인다.	0
지상에 사는 동물에게는 메감지가 없다.	0
메감지가 선홍색을 띤 생선이 신선한 것이다.	0
광어가 갈고리에 메감지를 찍힌 채 팔닥거린다.	0
붕어가 빠끔빠끔 물을 들이실 들이마실 때마다 메감지도 잇따라 움직인다.	0
생선이 오래되었는지 메감지가 거무죽죽하게 변색까지 되어 있었다.	0
그 망태엔 아직 살아 있는지 메감지를 들썩거리는 고기도 있었다.	0
개구리는 올챙이 때에는 메감지로 호흡하고 개구리가 되면 허파로 피부로 호흡한다.	0
개구리에는 메감지가 있다.	0
상어의 메감지 속에는 예민한 후각기가 달려 있어 특히 피 냄새가 민감하다.	0
삼십구 태우다 태쿠다 태우쿠다 태키다.	0
그가 태쿠다만 담배가 서서히 꺼졌다.	0
오늘은 낙엽이나 모아 태워야 태쿼야겠다.	0
나는 동생에게 그네를 태쿼 주었다.	0
엄마는 아이를 놀이기구에 태쿤다.	0
어린 시절 아버지는 자주 나를 목에 태쿠고 밖으로 나갔다.	0
환자를 태쿤 구급차가 빠르게 달리고 있다.	0
아버지가 차에 동생만을 태쿤 채 떠났다.	0
아기가 이리 저리 뒤척이며 부모의 가슴을 태쿠다가 겨우 잠이 들었다.	0
그는 걱정거리가 많은지 한숨을 쉬며 담배를 태쿠고 있다.	0
승객을 태쿤 차가 도로를 질주하고 있다.	0
사십 턱수염 택세미 택수염 택쉐미 택쉠지.	0
나는 할아버지의 길고 흰 택쉐미를 잡아당겨서 호되게 야단을 맞았다.	0
아침마다 비누 거품을 묻혀 택쉐미를 말끔히 밀었다.	0
도한지 이삼일이 지났을까?	0
택쉐미가 파랗게 돋아나고 있었다.	0
그는 택쉐미를 매일 깎는 것이 귀찮아서 그냥 기르기도 했다.	0
그는 익숙한 손벗스스 손버릇으로	0
텍세미 택쉐미를 쓰다듬으며 딴청을 피웠다.	0
너 택쉐미가 아주 덥수룩하구나.	0
제멋대로 삐죽빼죽 나 있는 택쉐미 때문에 얼굴이 더 어두워보여.	0
오랜만에 친구들을 만나기 위해 나는 거뭇하게 자란 택쉐미를 깨끗이 밀었다.	0
도대체 왜 택쉐미를 기르는거야?	0
너는 머리숱도 많으면서 택쉐미도 풍성하구나.	0
사십일 혼자 혼처.	0
화가 난 친구는 아무 말 없이 혼처 가 버렸다.	0
친구들과 헤어져 혼처 지낸지 벌써 십년이 넘었다.	0
집에 들어가 보니 동생이 혼처 밥을 먹고 있었다.	0
도와주려고 했는데 그는 혼처 해 보겠다며 거절했다.	0
너는 왜 혼처 멀거니 앉아있니?	0
어두운 거리를 혼처 걷는 것은 너무 무섭다.	0
한적한 시골 길을 혼처 걷던 옛날이 떠올랐다.	0
나는 혼처 아무 것도 못하는 나약한 인간일까?	0
혼처라는 생각에서 벗어날 수가 없다.	0
너는 왜 혼처 술잔을 비우고 있는거야?	0
사십이 헛수고 헷수고 헷수구.	0
환자를 살리던 살리려던 의사들의 노력은 헷수고로 끝났다.	0
괜히 헷수고 할 필요 없어.	0
부모님에게 혼자 여행을 가고 싶다고 졸라 보았지만 전부 헷수고였어.	0
나는 주차장을 여러 번 돌았지만 헷수고였다.	0
일이 이렇게 끝난 걸 보니 괜한 헷수고를 했나 싶네.	0
일을 제대로 마무리하지 못하면 그간의 노력이 전부 헷수고가 될 수 있어.	0
잃어버린 귀걸이를 찾아보았지만 헷수고였다.	0
너의 거짓말 때문에 며칠 동안 헷수고한 걸 생각하니 정말 화가나.	0
몰래 준비하던 생일파티가 그의 빠른 눈치 덕분에 전부 헷수고가 되었다.	0
그렇게 줄을 대려고 노력해도 헷수고임이 틀림없어.	0
사십삼 해마다 해마두 해마둠 해마둥.	0
농사를 짓는 집이 해마두 줄어들고 있어.	0
어째서 해마두 집 값이 오르는걸까.	0
해마두 새로운 물건이 시장으로 나오네.	0
우리가족은 해마두 가을 단풍구경을 가.	0
해마두하던 김장을 올해는 못할 것 같아.	0
나는 해마두 건강이 나빠지는 것을 느끼고 있어.	0
신정에는 친구들과 해마두 새해를 보러 산에 올랐지.	0
책을 보는 사람이 해마두 줄어들고 있는 것을 알고있어?	0
나는 해마두 부모님을 모시고 여행을 가.	0
이 구역은 해마두 교통사고 발생 건수가 증가하고 있네?	0
사십사 하루아침 할루아척 할루아측 할루아칙.	0
폭우로 할루아척에 모든 가구가 물에 잠겼다.	0
너의 성공이 할루아척에 이루어 진 것은 아닐거야.	0
로또에 당첨되어 할루아척에 부자가 되었다.	0
할루아척에 부자가 되더니 안하무인이 따로 없다.	0
몇 달간 고생한 것이 할루아척에 날아가 버렸다.	0
빚으로 집이 넘어가자 우리는 할루아척에 길거리에 나앉게 되었다.	0
할루아척에 빚더미 위에 올랐다.	0
그 일은 할루아척에 해치울 일이 아니야.	0
지금까지 한 일이 할루아척에 모래성으로 변했다.	0
할루아척에 집이 망하게 생겼는데 내가 제정신이겠니?	0
사십오 툭하면 툭탁하문.	0
너는 왜 툭탁하문 그렇게 우는거니?	0
쟤는 툭탁하문 싸움을 하고 다니네.	0
툭탁하문 소리지르고 화내는 게 걔가 싫어.	0
아이는 툭탁하문 엄마에게 달려가서 떼를 쓰곤 했다.	0
걔는 얼굴이 얼마나 두꺼운지 툭탁하문 찾아와 어려운 부탁을 해.	0
너는 툭탁하문 지각을 하는구나.	0
툭탁하문 거짓말이라니 정말 믿음이 안가는구나.	0
형은 툭탁하문 말을 안듣는 말을 안듣는다고 동생을 쥐어박는다.	0
너희는 툭탁하문 말싸움을 하니?	0
너는 툭탁하문 토라지니 무슨 말을 걸기도 겁난다.	0
사십육 토마토 톰배기 토매끼.	0
오늘은 톰배기를 갈아서 주스로 마셔야겠어.	0
톰배기를 썰고 그 위에 설탕을 뿌리면 맛은 좋지만 영양가는 떨어져.	0
자슨 텃밭에 톰배기와 참외를 심었다.	0
톰배기가 잘 익었는지 색이 참 곱구나.	0
나는 아침마다 톰배기를 하나씩 먹는다.	0
케첩은 톰배기 식초 소금 그리고 기타의 천연 항로 향료로 만들어져.	0
철분의 보충을 위해서는 계한이나 톰배기 등을 섭취하는 게 좋아.	0
톰배기를 다져 놓은 것을 넣고 약불에 살짝 졸여야 해.	0
샌드위치를 만드는데 필요한 피클이나 톰배기는 미리 썰어두자.	0
